id,Hora,Uso_CPU,Memoria_total,Memoria_usada,Procesos,Discos,Internet
1,2025-04-12 01:26:17,CPU 1: 51.28% | CPU 2: 40.86% | CPU 3: 49.83% | CPU 4: 41.52% | CPU 5: 47.33% | CPU 6: 41.46% | CPU 7: 58.26% | CPU 8: 43.53%,16221.05 MB,11062.41 MB,[14364] rust-analyzer.exe (Mem: 1616.44 MB) | [15956] brave.exe (Mem: 510.65 MB) | [19004] Code.exe (Mem: 446.68 MB) | [17172] brave.exe (Mem: 407.28 MB) | [15568] Copilot.exe (Mem: 362.02 MB),[D:\][Tipo: HDD] Lectura: 23774.86 MB | Escritura: 89645.04 MB | [C:\][Tipo: SSD] Lectura: 14605.58 MB | Escritura: 22105.82 MB,Wi-Fi: 0.36 Mbps (down) / 0.45 Mbps (up)
2,2025-04-12 01:31:22,CPU 1: 60.12% | CPU 2: 52.33% | CPU 3: 59.37% | CPU 4: 52.64% | CPU 5: 56.81% | CPU 6: 51.70% | CPU 7: 62.51% | CPU 8: 56.49%,16221.05 MB,10785.36 MB,[14364] rust-analyzer.exe (Mem: 1616.07 MB) | [15956] brave.exe (Mem: 516.71 MB) | [19004] Code.exe (Mem: 441.43 MB) | [17172] brave.exe (Mem: 373.95 MB) | [3992] brave.exe (Mem: 354.12 MB),[D:\][Tipo: HDD] Lectura: 23775.03 MB | Escritura: 89645.80 MB | [C:\][Tipo: SSD] Lectura: 14711.16 MB | Escritura: 22141.00 MB,Wi-Fi: 0.55 Mbps (down) / 0.45 Mbps (up)
3,2025-04-12 01:36:30,CPU 1: 56.40% | CPU 2: 49.24% | CPU 3: 54.77% | CPU 4: 50.02% | CPU 5: 53.94% | CPU 6: 49.51% | CPU 7: 59.12% | CPU 8: 54.83%,16221.05 MB,8023.84 MB,[15956] brave.exe (Mem: 433.61 MB) | [17172] brave.exe (Mem: 376.61 MB) | [8272] explorer.exe (Mem: 352.57 MB) | [3992] brave.exe (Mem: 332.07 MB) | [11168] brave.exe (Mem: 322.16 MB),[D:\][Tipo: HDD] Lectura: 23775.04 MB | Escritura: 89646.68 MB | [C:\][Tipo: SSD] Lectura: 14716.19 MB | Escritura: 22187.58 MB,Wi-Fi: 0.13 Mbps (down) / 0.45 Mbps (up)
4,2025-04-12 01:41:35,CPU 1: 58.27% | CPU 2: 48.94% | CPU 3: 54.80% | CPU 4: 49.55% | CPU 5: 54.65% | CPU 6: 47.65% | CPU 7: 59.51% | CPU 8: 54.77%,16221.05 MB,7991.70 MB,[15956] brave.exe (Mem: 423.12 MB) | [17172] brave.exe (Mem: 386.35 MB) | [8272] explorer.exe (Mem: 352.00 MB) | [11168] brave.exe (Mem: 319.76 MB) | [3992] brave.exe (Mem: 304.51 MB),[D:\][Tipo: HDD] Lectura: 23775.04 MB | Escritura: 89646.88 MB | [C:\][Tipo: SSD] Lectura: 14716.46 MB | Escritura: 22203.32 MB,Wi-Fi: 1.06 Mbps (down) / 0.45 Mbps (up)
5,2025-04-12 01:46:42,CPU 1: 55.74% | CPU 2: 40.69% | CPU 3: 50.21% | CPU 4: 43.25% | CPU 5: 49.83% | CPU 6: 42.68% | CPU 7: 57.23% | CPU 8: 46.19%,16221.05 MB,8192.14 MB,[17172] brave.exe (Mem: 409.17 MB) | [15956] brave.exe (Mem: 407.61 MB) | [8272] explorer.exe (Mem: 350.57 MB) | [3992] brave.exe (Mem: 346.12 MB) | [11168] brave.exe (Mem: 320.80 MB),[D:\][Tipo: HDD] Lectura: 23775.04 MB | Escritura: 89647.35 MB | [C:\][Tipo: SSD] Lectura: 14717.96 MB | Escritura: 22225.58 MB,Wi-Fi: 0.03 Mbps (down) / 0.45 Mbps (up)
6,2025-04-12 01:51:48,CPU 1: 51.26% | CPU 2: 40.39% | CPU 3: 51.19% | CPU 4: 40.87% | CPU 5: 48.96% | CPU 6: 38.07% | CPU 7: 53.48% | CPU 8: 39.89%,16221.05 MB,8451.13 MB,[15956] brave.exe (Mem: 550.14 MB) | [17172] brave.exe (Mem: 404.89 MB) | [8272] explorer.exe (Mem: 354.65 MB) | [11168] brave.exe (Mem: 342.12 MB) | [6948] brave.exe (Mem: 299.71 MB),[D:\][Tipo: HDD] Lectura: 23775.17 MB | Escritura: 89647.92 MB | [C:\][Tipo: SSD] Lectura: 14837.06 MB | Escritura: 22282.59 MB,Wi-Fi: 0.09 Mbps (down) / 0.55 Mbps (up)
7,2025-04-12 01:56:54,CPU 1: 40.14% | CPU 2: 16.66% | CPU 3: 48.20% | CPU 4: 20.97% | CPU 5: 40.89% | CPU 6: 22.13% | CPU 7: 35.21% | CPU 8: 17.92%,16221.05 MB,8230.98 MB,[15956] brave.exe (Mem: 643.46 MB) | [17172] brave.exe (Mem: 426.09 MB) | [8272] explorer.exe (Mem: 342.64 MB) | [11168] brave.exe (Mem: 334.67 MB) | [6948] brave.exe (Mem: 295.54 MB),[D:\][Tipo: HDD] Lectura: 23775.17 MB | Escritura: 89648.28 MB | [C:\][Tipo: SSD] Lectura: 16146.50 MB | Escritura: 22320.18 MB,Wi-Fi: 0.25 Mbps (down) / 0.49 Mbps (up)
8,2025-04-12 02:02:01,CPU 1: 39.90% | CPU 2: 25.51% | CPU 3: 38.22% | CPU 4: 26.47% | CPU 5: 38.17% | CPU 6: 26.57% | CPU 7: 42.91% | CPU 8: 25.27%,16221.05 MB,10460.73 MB,[7556] rust-analyzer.exe (Mem: 1615.23 MB) | [15956] brave.exe (Mem: 492.34 MB) | [17172] brave.exe (Mem: 438.18 MB) | [14588] Code.exe (Mem: 419.22 MB) | [8272] explorer.exe (Mem: 345.66 MB),[D:\][Tipo: HDD] Lectura: 23775.17 MB | Escritura: 89650.85 MB | [C:\][Tipo: SSD] Lectura: 16153.47 MB | Escritura: 22428.22 MB,Wi-Fi: 0.16 Mbps (down) / 0.46 Mbps (up)
9,2025-04-12 02:07:08,CPU 1: 40.75% | CPU 2: 29.92% | CPU 3: 40.91% | CPU 4: 28.46% | CPU 5: 39.80% | CPU 6: 25.83% | CPU 7: 42.67% | CPU 8: 28.17%,16221.05 MB,9572.30 MB,[7556] rust-analyzer.exe (Mem: 1617.41 MB) | [17172] brave.exe (Mem: 443.71 MB) | [14588] Code.exe (Mem: 410.30 MB) | [8272] explorer.exe (Mem: 343.70 MB) | [6948] brave.exe (Mem: 284.64 MB),[D:\][Tipo: HDD] Lectura: 23775.84 MB | Escritura: 89652.17 MB | [C:\][Tipo: SSD] Lectura: 16328.13 MB | Escritura: 22477.17 MB,Wi-Fi: 0.47 Mbps (down) / 0.47 Mbps (up)
10,2025-04-12 02:12:16,CPU 1: 41.75% | CPU 2: 25.43% | CPU 3: 38.90% | CPU 4: 25.45% | CPU 5: 37.84% | CPU 6: 24.24% | CPU 7: 41.87% | CPU 8: 24.64%,16221.05 MB,9175.45 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 438.68 MB) | [14588] Code.exe (Mem: 405.56 MB) | [8272] explorer.exe (Mem: 340.12 MB) | [6948] brave.exe (Mem: 278.18 MB),[D:\][Tipo: HDD] Lectura: 23775.84 MB | Escritura: 89652.45 MB | [C:\][Tipo: SSD] Lectura: 16328.88 MB | Escritura: 22496.44 MB,Wi-Fi: 0.18 Mbps (down) / 0.61 Mbps (up)
